,X.2,X.1,X,Country,GDP,GDP_per_Capita,Hourly_Wage,Region,GDP_rank,wage_rank
1,1,1,1,Argentina,537.66,12600.5694934321,3.84,Latin America and Caribbean,10,10
2,2,2,2,Australia,1454.68,61532.6046495888,15.58,Oceania,1,1
3,3,3,3,Brazil,2346.08,11537.8903003388,2.12,Latin America and Caribbean,11,12
4,4,4,4,Canada,1785.39,50235.4797786711,9.22,North America,3,5
5,5,5,5,China,10354.8,7572.23193196194,0.8,Asia,14,13
6,6,6,6,France,2829.19,42835.3621608527,12.83,Europe,6,2
7,7,7,7,Germany,3868.29,47894.4370844528,11.28,Europe,4,3
8,8,8,8,India,2048.52,1623.97932488782,0.31,Asia,16,16
9,9,9,9,Indonesia,888.54,3523.64009568346,0.53,Asia,15,15
10,10,11,11,Japan,4601.46,36206.3104886301,6.54,Asia,7,7
11,11,12,12,Mexico,1294.69,10814.9307474465,0.62,Latin America and Caribbean,12,14
12,13,14,14,Saudi Arabia,746.25,24252.1906216613,3.85,Asia,9,9
13,14,16,16,South Korea,1410.38,27970.435877154,5.51,Asia,8,8
14,15,17,17,Turkey,798.43,10414.1286628254,2.82,Europe,13,11
15,16,18,18,United Kingdom,2988.89,46624.4365902577,11.02,Europe,5,4
16,17,19,19,United States,17419,54611.1786910122,7.25,North America,2,6